Project_ID,MP_ID,State,Constituency,Project_Category,Project_Description,Sanctioned_Amount,Sanction_Date,Expected_Completion_Date,Actual_Completion_Date,Contractor_ID,Project_Status
P00032884,MP0087,Rajasthan,JAIPUR-2,Healthcare,Primary health centre development,2830000,2025-04-14,2025-10-25,2025-10-17,V013244,Completed
P00032885,MP0024,Madhya Pradesh,BHOPAL-2,Healthcare,Health centre infrastructure,5130000,2025-03-02,2025-06-10,2025-06-03,V023997,Completed
P00032886,MP0100,Maharashtra,NASHIK-5,Sports,Community sports facility,920000,2025-01-14,2025-09-11,,V030142,Ongoing
P00032887,MP0058,Uttar Pradesh,KANPUR-1,Sanitation,Sanitation infrastructure,4920000,2025-06-12,2025-09-10,2025-08-20,V013352,Completed
P00032888,MP0069,Uttar Pradesh,LUCKNOW-4,Electricity,Solar lighting installation,1690000,2025-08-26,2026-05-08,2026-04-20,V007844,Completed
P00032889,MP0064,Telangana,WARANGAL-1,Sports,Community sports facility,520000,2025-02-09,2025-09-16,2025-08-18,V036203,Completed
P00032890,MP0019,Bihar,AURANGABAD-1,Sanitation,Community toilet construction,4850000,2025-08-13,2026-01-21,2026-01-14,V013991,Completed
P00032891,MP0008,Maharashtra,NANDED-4,Electricity,Electricity infrastructure,5020000,2025-03-13,2025-10-04,2025-11-07,V007696,Delayed
P00032892,MP0071,Tamil Nadu,SALEM-2,Water Supply,Pipeline installation,4550000,2025-07-09,2026-02-16,,V024695,Ongoing
P00032893,MP0040,Rajasthan,JODHPUR-5,Public Infrastructure,Public facility improvement,6530000,2025-08-14,2026-02-23,2026-01-29,V041763,Completed
P00032894,MP0013,Uttar Pradesh,LUCKNOW-5,Sanitation,Drainage improvement,1800000,2025-05-26,2026-01-28,,V026616,Ongoing
P00032895,MP0027,Bihar,MUZAFFARPUR-5,Healthcare,Community health facility,1130000,2025-04-07,2025-11-05,,V000928,Ongoing
P00032896,MP0082,Rajasthan,JODHPUR-3,Water Supply,Pipeline installation,2080000,2025-04-26,2025-09-17,2025-08-23,V036916,Completed
P00032897,MP0088,Madhya Pradesh,INDORE-4,Community Development,Public facility development,9900000,2025-05-13,2025-08-21,2025-08-09,V018223,Completed
P00032898,MP0002,Bihar,GAYA-1,Road,Rural connectivity road,5820000,2025-08-13,2026-01-02,2026-01-01,V013528,Completed
P00032899,MP0016,Karnataka,KALABURAGI-2,Education,School laboratory development,3310000,2025-05-20,2025-10-23,,V049599,Ongoing
P00032900,MP0014,West Bengal,DURGAPUR-5,Agriculture,Agricultural storage facility,9950000,2025-07-10,2025-12-19,,V038805,Ongoing
P00032901,MP0017,Uttar Pradesh,AGRA-4,Water Supply,Construction of water tank,2020000,2025-07-25,2026-02-13,2026-02-07,V023273,Completed
P00032902,MP0060,Telangana,HYDERABAD-1,Sports,Sports ground development,7110000,2025-07-06,2026-02-16,2026-02-06,V005971,Completed
P00032903,MP0070,Telangana,NIZAMABAD-4,Agriculture,Farmer support infrastructure,1150000,2025-04-23,2025-08-02,2025-07-08,V016544,Completed
P00032904,MP0099,Karnataka,BALLARI-2,Education,School infrastructure improvement,2170000,2025-01-18,2025-09-27,2025-09-23,V012724,Completed
P00032905,MP0017,Uttar Pradesh,AGRA-4,Electricity,Electricity infrastructure,4230000,2025-05-29,2025-09-25,2025-09-05,V020818,Completed
P00032906,MP0045,Tamil Nadu,MADURAI-2,Education,School classroom construction,3730000,2025-08-30,2025-12-28,,V008459,Ongoing
P00032907,MP0038,Karnataka,KALABURAGI-3,Electricity,Street lighting installation,9280000,2025-03-19,2025-10-31,2025-10-09,V030081,Completed
P00032908,MP0064,Telangana,WARANGAL-1,Sanitation,Waste management facility,5190000,2025-04-28,2025-07-28,2025-11-25,V002984,Completed
P00032909,MP0006,Tamil Nadu,MADURAI-5,Electricity,Solar lighting installation,9180000,2025-08-23,2026-04-10,2026-03-31,V049622,Completed
P00032910,MP0060,Telangana,HYDERABAD-1,Public Infrastructure,Public building construction,3290000,2025-01-05,2025-05-26,,V029127,Ongoing
P00032911,MP0049,Rajasthan,AJMER-5,Electricity,Street lighting installation,4190000,2025-03-21,2025-11-09,2025-10-26,V004470,Completed
P00032912,MP0021,Telangana,KARIMNAGAR-3,Agriculture,Farmer support infrastructure,5270000,2025-02-07,2025-08-30,2025-08-07,V036817,Completed
P00032913,MP0099,Karnataka,BALLARI-2,Agriculture,Agricultural storage facility,4650000,2025-07-06,2025-11-17,2025-11-16,V017713,Completed
P00032914,MP0023,Bihar,PATNA-3,Public Infrastructure,Infrastructure development,3430000,2025-05-20,2025-10-02,2025-09-17,V029324,Completed
P00032915,MP0076,Karnataka,KALABURAGI-2,Public Infrastructure,Infrastructure development,8930000,2025-05-23,2026-02-11,2026-01-17,V023233,Completed
P00032916,MP0057,West Bengal,SILIGURI-2,Water Supply,Drinking water facility,5860000,2025-01-09,2025-06-09,2025-06-06,V030147,Completed
P00032917,MP0064,Telangana,WARANGAL-1,Road,Rural connectivity road,3030000,2025-03-21,2025-12-01,,V014447,Ongoing
P00032918,MP0029,Rajasthan,JODHPUR-2,Sports,Community sports facility,4210000,2025-06-23,2025-12-23,,V016222,Ongoing
P00032919,MP0027,Bihar,MUZAFFARPUR-5,Healthcare,Medical equipment purchase,8270000,2025-08-17,2025-12-10,2025-11-12,V032328,Completed
P00032920,MP0006,Tamil Nadu,MADURAI-5,Water Supply,Water supply improvement,2490000,2025-02-06,2025-09-07,,V030737,Ongoing
P00032921,MP0021,Telangana,KARIMNAGAR-3,Public Infrastructure,Public building construction,830000,2025-02-22,2025-05-24,2025-04-24,V001158,Completed
P00032922,MP0071,Tamil Nadu,SALEM-2,Water Supply,Water supply improvement,1580000,2025-01-19,2025-05-04,,V035388,Ongoing
P00032923,MP0041,Maharashtra,LATUR-3,Public Infrastructure,Public building construction,8750000,2025-06-16,2026-01-22,,V001336,Ongoing
P00032924,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Education,Library construction,3090000,2025-02-27,2025-11-12,2025-11-10,V027157,Completed
P00032925,MP0005,Bihar,MUZAFFARPUR-5,Water Supply,Construction of water tank,4500000,2025-04-19,2025-10-30,,V027467,Ongoing
P00032926,MP0015,Karnataka,BELAGAVI-2,Education,School laboratory development,1230000,2025-02-10,2025-10-26,2025-10-12,V049346,Completed
P00032927,MP0021,Telangana,KARIMNAGAR-3,Sports,Sports ground development,8060000,2025-03-25,2025-09-29,2025-09-15,V036735,Completed
P00032928,MP0058,Uttar Pradesh,KANPUR-1,Community Development,Village development work,9820000,2025-02-26,2025-08-20,2025-08-09,V030528,Completed
P00032929,MP0004,Maharashtra,PUNE-1,Water Supply,Drinking water facility,1950000,2025-05-14,2025-11-06,2025-11-02,V048752,Completed
P00032930,MP0069,Uttar Pradesh,LUCKNOW-4,Sports,Sports ground development,5840000,2025-04-12,2025-08-03,2025-07-16,V026719,Completed
P00032931,MP0007,Bihar,BHAGALPUR-5,Public Infrastructure,Public facility improvement,9490000,2025-02-27,2025-07-04,2025-07-03,V022486,Completed
P00032932,MP0035,Rajasthan,JAIPUR-3,Education,Library construction,2400000,2025-06-20,2025-10-03,,V021690,Ongoing
P00032933,MP0036,Gujarat,RAJKOT-1,Agriculture,Irrigation development,7320000,2025-07-12,2025-12-28,2025-12-04,V002097,Completed
P00032934,MP0015,Karnataka,BELAGAVI-2,Community Development,Community hall construction,1240000,2025-01-14,2025-08-06,,V027857,Ongoing
P00032935,MP0092,Tamil Nadu,MADURAI-3,Agriculture,Irrigation development,9430000,2025-07-07,2025-12-08,2025-11-20,V010466,Completed
P00032936,MP0002,Bihar,GAYA-1,Road,Road repair and improvement,7950000,2025-08-10,2026-04-10,2026-04-05,V020235,Completed
P00032937,MP0057,West Bengal,SILIGURI-2,Education,School classroom construction,1940000,2025-04-30,2025-07-29,2025-07-25,V017798,Completed
P00032938,MP0005,Bihar,MUZAFFARPUR-5,Electricity,Solar lighting installation,3870000,2025-01-14,2025-05-17,2025-05-10,V005051,Completed
P00032939,MP0071,Tamil Nadu,SALEM-2,Education,School laboratory development,8120000,2025-02-27,2025-10-07,2025-09-28,V006067,Completed
P00032940,MP0086,Bihar,MUZAFFARPUR-3,Agriculture,Agricultural storage facility,2950000,2025-03-14,2025-10-19,2025-09-30,V046257,Completed
P00032941,MP0095,Maharashtra,SOLAPUR-4,Community Development,Public facility development,8500000,2025-03-23,2025-11-08,2025-11-03,V049648,Completed
P00032942,MP0032,Karnataka,MYSURU-4,Electricity,Electricity infrastructure,1400000,2025-06-18,2026-01-02,2025-12-11,V012401,Completed
P00032943,MP0072,Madhya Pradesh,INDORE-1,Healthcare,Community health facility,4880000,2025-05-22,2025-11-24,2025-11-19,V026359,Completed
P00032944,MP0041,Maharashtra,LATUR-3,Road,Internal road development,9050000,2025-08-23,2025-12-19,2025-11-28,V041081,Completed
P00032945,MP0042,Maharashtra,SOLAPUR-3,Electricity,Solar lighting installation,3050000,2025-05-25,2026-01-14,,V029615,Ongoing
P00032946,MP0075,Tamil Nadu,MADURAI-1,Education,Library construction,3490000,2025-06-29,2025-11-17,2025-10-23,V003885,Completed
P00032947,MP0065,Tamil Nadu,CHENNAI-1,Road,Road repair and improvement,4060000,2025-04-25,2025-10-21,2025-10-16,V007217,Completed
P00032948,MP0040,Rajasthan,JODHPUR-5,Agriculture,Agricultural storage facility,1280000,2025-07-22,2026-02-12,2026-02-09,V044200,Completed
P00032949,MP0083,Gujarat,VADODARA-4,Sports,Community sports facility,8020000,2025-03-29,2025-09-03,2025-08-16,V049929,Completed
P00032950,MP0038,Karnataka,KALABURAGI-3,Electricity,Street lighting installation,2930000,2025-06-25,2026-02-27,,V019208,Ongoing
P00032951,MP0042,Maharashtra,SOLAPUR-3,Water Supply,Construction of water tank,3370000,2025-03-03,2025-08-28,,V012782,Ongoing
P00032952,MP0037,Madhya Pradesh,UJJAIN-2,Public Infrastructure,Public building construction,8880000,2025-06-26,2026-01-06,,V016154,Ongoing
P00032953,MP0056,Telangana,WARANGAL-5,Healthcare,Primary health centre development,1470000,2025-01-26,2025-07-27,,V000756,Ongoing
P00032954,MP0071,Tamil Nadu,SALEM-2,Sports,Playground construction,3840000,2025-03-10,2025-11-18,2026-05-13,V001420,Completed
P00032955,MP0055,Tamil Nadu,MADURAI-3,Public Infrastructure,Public building construction,3320000,2025-05-05,2026-01-05,2025-12-11,V008801,Completed
P00032956,MP0089,Madhya Pradesh,UJJAIN-5,Electricity,Solar lighting installation,5030000,2025-05-29,2025-11-12,2025-11-05,V026093,Completed
P00032957,MP0054,Karnataka,BELAGAVI-3,Agriculture,Irrigation development,8230000,2025-07-13,2025-11-21,2025-11-07,V034167,Completed
P00032958,MP0022,Tamil Nadu,MADURAI-3,Education,School laboratory development,8060000,2025-07-04,2025-10-19,,V045904,Ongoing
P00032959,MP0027,Bihar,MUZAFFARPUR-5,Agriculture,Irrigation development,9940000,2025-01-25,2025-05-04,,V012377,Ongoing
P00032960,MP0047,West Bengal,SILIGURI-2,Public Infrastructure,Public facility improvement,3390000,2025-03-28,2025-11-01,2025-10-22,V045432,Completed
P00032961,MP0038,Karnataka,KALABURAGI-3,Public Infrastructure,Public building construction,8500000,2025-01-05,2025-09-27,2025-09-16,V005667,Completed
P00032962,MP0039,Tamil Nadu,TIRUCHIRAPPALLI-2,Road,Road repair and improvement,4130000,2025-01-17,2025-05-02,2025-04-12,V012637,Completed
P00032963,MP0015,Karnataka,BELAGAVI-2,Public Infrastructure,Public building construction,6120000,2025-08-02,2026-03-23,2026-03-03,V024810,Completed
P00032964,MP0066,Tamil Nadu,CHENNAI-1,Sanitation,Sanitation infrastructure,9700000,2025-04-29,2026-01-24,2026-01-17,V019292,Completed
P00032965,MP0061,Uttar Pradesh,AGRA-1,Agriculture,Agricultural storage facility,8270000,2025-07-19,2025-11-16,2025-10-21,V035984,Completed
P00032966,MP0060,Telangana,HYDERABAD-1,Community Development,Village development work,2680000,2025-06-23,2026-02-10,,V005715,Ongoing
P00032967,MP0008,Maharashtra,NANDED-4,Water Supply,Construction of water tank,8160000,2025-06-30,2025-11-28,2025-11-10,V017064,Completed
P00032968,MP0044,Karnataka,BELAGAVI-4,Road,Rural connectivity road,2230000,2025-06-21,2026-01-23,2025-12-30,V038662,Completed
P00032969,MP0043,Bihar,PATNA-2,Community Development,Village development work,6100000,2025-06-08,2025-09-18,,V007771,Ongoing
P00032970,MP0006,Tamil Nadu,MADURAI-5,Public Infrastructure,Infrastructure development,1050000,2025-05-01,2025-12-27,2025-12-17,V024546,Completed
P00032971,MP0084,Karnataka,BELAGAVI-4,Sanitation,Drainage improvement,1530000,2025-08-26,2026-03-14,2026-03-04,V030353,Completed
P00032972,MP0027,Bihar,MUZAFFARPUR-5,Education,Library construction,1290000,2025-02-27,2025-07-29,2025-07-13,V021280,Completed
P00032973,MP0045,Tamil Nadu,MADURAI-2,Sports,Sports ground development,810000,2025-06-11,2025-10-08,2025-10-05,V041368,Completed
P00032974,MP0023,Bihar,PATNA-3,Public Infrastructure,Public facility improvement,8810000,2025-05-05,2025-09-11,2025-08-13,V044003,Completed
P00032975,MP0081,Rajasthan,KOTA-2,Sanitation,Community toilet construction,3540000,2025-08-15,2026-01-31,2026-01-23,V019107,Completed
P00032976,MP0013,Uttar Pradesh,LUCKNOW-5,Electricity,Electricity infrastructure,1230000,2025-07-16,2026-02-17,2026-02-09,V016480,Completed
P00032977,MP0068,Bihar,BHAGALPUR-1,Sanitation,Waste management facility,4310000,2025-01-10,2025-06-03,,V036405,Ongoing
P00032978,MP0084,Karnataka,BELAGAVI-4,Sports,Community sports facility,3360000,2025-08-08,2025-12-24,2025-12-16,V034684,Completed
P00032979,MP0064,Telangana,WARANGAL-1,Public Infrastructure,Public building construction,3030000,2025-05-13,2026-01-25,2026-01-01,V008079,Completed
P00032980,MP0025,Rajasthan,JODHPUR-4,Road,Village road construction,6080000,2025-08-14,2026-03-03,2026-07-23,V004005,Completed
P00032981,MP0086,Bihar,MUZAFFARPUR-3,Public Infrastructure,Public building construction,6970000,2025-07-27,2025-10-26,,V034389,Ongoing
P00032982,MP0052,Bihar,MUZAFFARPUR-2,Agriculture,Farmer support infrastructure,5890000,2025-01-08,2025-08-05,2025-07-22,V004046,Completed
P00032983,MP0048,Bihar,AURANGABAD-4,Agriculture,Agricultural storage facility,3520000,2025-05-22,2025-12-10,,V041367,Ongoing
P00032984,MP0061,Uttar Pradesh,AGRA-1,Public Infrastructure,Public facility improvement,1290000,2025-06-07,2026-01-08,2026-05-28,V041991,Delayed
P00032985,MP0017,Uttar Pradesh,AGRA-4,Road,Internal road development,4230000,2025-02-06,2025-05-07,2025-04-29,V025861,Completed
P00032986,MP0040,Rajasthan,JODHPUR-5,Public Infrastructure,Infrastructure development,2130000,2025-07-14,2025-10-15,2025-10-09,V032595,Completed
P00032987,MP0075,Tamil Nadu,MADURAI-1,Agriculture,Agricultural storage facility,3620000,2025-01-19,2025-09-12,2026-01-22,V035435,Completed
P00032988,MP0089,Madhya Pradesh,UJJAIN-5,Electricity,Street lighting installation,7260000,2025-04-13,2025-12-01,2025-11-26,V021191,Completed
P00032989,MP0069,Uttar Pradesh,LUCKNOW-4,Sanitation,Community toilet construction,4040000,2025-06-03,2025-09-02,2025-08-21,V025544,Completed
P00032990,MP0085,West Bengal,KOLKATA-1,Public Infrastructure,Infrastructure development,9430000,2025-06-06,2026-01-24,2025-12-25,V015940,Completed
P00032991,MP0026,Telangana,WARANGAL-3,Community Development,Village development work,3030000,2025-02-08,2025-08-19,2025-08-08,V042876,Completed
P00032992,MP0080,Uttar Pradesh,PRAYAGRAJ-5,Education,Library construction,2450000,2025-03-17,2025-09-17,2025-09-07,V044901,Completed
P00032993,MP0056,Telangana,WARANGAL-5,Electricity,Electricity infrastructure,6000000,2025-01-31,2025-06-17,2025-06-02,V016266,Completed
P00032994,MP0040,Rajasthan,JODHPUR-5,Sanitation,Community toilet construction,8700000,2025-02-09,2025-07-22,,V015154,Ongoing
P00032995,MP0085,West Bengal,KOLKATA-1,Sports,Community sports facility,8390000,2025-04-11,2025-12-24,2025-12-08,V009724,Completed
P00032996,MP0096,Maharashtra,PUNE-3,Agriculture,Irrigation development,7750000,2025-02-28,2025-07-13,2025-09-13,V037745,Delayed
P00032997,MP0068,Bihar,BHAGALPUR-1,Electricity,Electricity infrastructure,5580000,2025-08-06,2026-04-23,2026-03-25,V025852,Completed
P00032998,MP0008,Maharashtra,NANDED-4,Healthcare,Primary health centre development,3800000,2025-06-03,2025-09-19,2025-09-15,V010638,Completed
P00032999,MP0073,Tamil Nadu,CHENNAI-3,Electricity,Solar lighting installation,4610000,2025-04-17,2025-09-18,2025-08-28,V034790,Completed
P00033000,MP0045,Tamil Nadu,MADURAI-2,Public Infrastructure,Infrastructure development,8610000,2025-01-28,2025-06-05,2025-05-11,V020080,Completed
P00033001,MP0017,Uttar Pradesh,AGRA-4,Sports,Community sports facility,5630000,2025-07-08,2025-12-10,2025-12-08,V026474,Completed
P00033002,MP0041,Maharashtra,LATUR-3,Electricity,Street lighting installation,3480000,2025-03-21,2025-10-03,,V017270,Ongoing
P00033003,MP0077,West Bengal,KOLKATA-2,Agriculture,Farmer support infrastructure,1150000,2025-05-23,2026-02-10,,V007239,Ongoing
P00033004,MP0009,Madhya Pradesh,INDORE-2,Agriculture,Agricultural storage facility,5100000,2025-06-11,2025-11-21,2025-10-22,V020885,Completed
P00033005,MP0070,Telangana,NIZAMABAD-4,Public Infrastructure,Infrastructure development,980000,2025-07-01,2026-01-28,2026-01-10,V040673,Completed
P00033006,MP0091,Madhya Pradesh,BHOPAL-1,Healthcare,Community health facility,7660000,2025-01-25,2025-05-02,2025-04-17,V003467,Completed
P00033007,MP0024,Madhya Pradesh,BHOPAL-2,Public Infrastructure,Public building construction,9710000,2025-03-28,2025-09-19,2025-08-20,V016804,Completed
P00033008,MP0073,Tamil Nadu,CHENNAI-3,Agriculture,Agricultural storage facility,6120000,2025-05-29,2026-01-13,,V015947,Ongoing
P00033009,MP0011,Rajasthan,KOTA-5,Road,Road repair and improvement,2810000,2025-05-22,2025-10-06,,V049719,Ongoing
P00033010,MP0035,Rajasthan,JAIPUR-3,Road,Village road construction,5940000,2025-01-21,2025-05-17,2025-05-03,V044066,Completed
P00033011,MP0029,Rajasthan,JODHPUR-2,Sanitation,Drainage improvement,870000,2025-07-08,2026-01-13,2025-12-17,V043486,Completed
P00033012,MP0008,Maharashtra,NANDED-4,Sanitation,Community toilet construction,7740000,2025-06-06,2025-09-22,2025-08-30,V043721,Completed
P00033013,MP0017,Uttar Pradesh,AGRA-4,Water Supply,Pipeline installation,2160000,2025-02-13,2025-06-04,,V035655,Ongoing
P00033014,MP0071,Tamil Nadu,SALEM-2,Agriculture,Irrigation development,5140000,2025-03-13,2025-06-22,2025-05-31,V020398,Completed
P00033015,MP0012,Maharashtra,SATARA-5,Sanitation,Community toilet construction,3700000,2025-07-02,2026-01-10,,V028604,Ongoing
P00033016,MP0079,West Bengal,KOLKATA-5,Healthcare,Primary health centre development,4990000,2025-06-20,2026-02-12,2026-02-08,V018322,Completed
P00033017,MP0093,West Bengal,HOWRAH-3,Sanitation,Waste management facility,4020000,2025-01-29,2025-09-04,2025-08-18,V009309,Completed
P00033018,MP0050,Karnataka,HUBBALLI-2,Water Supply,Construction of water tank,5890000,2025-06-19,2026-03-13,,V039253,Ongoing
P00033019,MP0024,Madhya Pradesh,BHOPAL-2,Healthcare,Health centre infrastructure,8680000,2025-08-20,2026-01-19,2025-12-24,V042894,Completed
P00033020,MP0037,Madhya Pradesh,UJJAIN-2,Public Infrastructure,Infrastructure development,1400000,2025-04-16,2025-12-04,,V044816,Ongoing
P00033021,MP0078,Karnataka,BENGALURU-2,Road,Village road construction,2730000,2025-02-22,2025-05-23,2025-05-18,V021658,Completed
P00033022,MP0011,Rajasthan,KOTA-5,Road,Road repair and improvement,6260000,2025-07-31,2026-03-09,,V026741,Ongoing
P00033023,MP0099,Karnataka,BALLARI-2,Public Infrastructure,Public facility improvement,5460000,2025-07-16,2026-03-29,,V009211,Ongoing
P00033024,MP0081,Rajasthan,KOTA-2,Agriculture,Irrigation development,5540000,2025-05-23,2026-01-26,2026-01-04,V011571,Completed
P00033025,MP0059,Uttar Pradesh,AGRA-4,Water Supply,Water supply improvement,5540000,2025-02-04,2025-07-06,2025-06-16,V004448,Completed
P00033026,MP0055,Tamil Nadu,MADURAI-3,Electricity,Electricity infrastructure,6170000,2025-07-04,2026-01-05,,V011098,Ongoing
